202
-20 20
-19 20
-18 20
-17 20
-16 20
-15 20
-14 20
-13 20
-12 20
-11 20
-10 20
-9 20
-8 20
-7 20
-6 20
-5 20
-4 20
-3 20
-2 20
-1 20
0 20
1 20
2 20
3 20
4 20
5 20
6 20
7 20
8 20
9 20
10 20
11 20
12 20
13 20
14 20
15 20
16 20
17 20
18 20
19 20
20 20
-20 0
-19 0
-18 0
-17 0
-16 0
-15 0
-14 0
-13 0
-12 0
-11 0
-10 0
-9 0
-8 0
-7 0
-6 0
-5 0
-4 0
-3 0
-2 0
-1 0
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
-20 0
-20 1
-20 2
-20 3
-20 4
-20 5
-20 6
-20 7
-20 8
-20 9
-20 10
-20 11
-20 12
-20 13
-20 14
-20 15
-20 16
-20 17
-20 18
-20 19
20 0
20 1
20 2
20 3
20 4
20 5
20 6
20 7
20 8
20 9
20 10
20 11
20 12
20 13
20 14
20 15
20 16
20 17
20 18
20 19
-15 5
-15 6
-15 7
-15 8
-15 9
-15 10
-15 11
-15 12
-15 13
-15 14
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
15 5
15 6
15 7
15 8
15 9
15 10
15 11
15 12
15 13
15 14
-10 0
-10 1
-10 2
-10 3
-10 4
-10 5
-10 6
-10 7
-10 8
-10 9
10 0
10 1
10 2
10 3
10 4
10 5
10 6
10 7
10 8
10 9
-15 15
-14 15
-13 15
-12 15
-11 15
-10 15
-9 15
-8 15
-7 15
-6 15
-5 15
-4 15
-3 15
-2 15
-1 15
0 15
1 15
2 15
3 15
4 15
5 15
6 15
7 15
8 15
9 15
10 15
11 15
12 15
13 15
14 15
15 15

